,idx,用紙長,用紙幅,給紙トレイ,排紙トレイ,タイプ,線速,線速(数値),紙種,紙厚,id,F1給紙センサ_on,F2給紙センサ_on,LCT F1搬送センサ_on,LCT F2搬送センサ_on,LCT F3搬送センサ_on,バンク F3給紙センサ_on,バンク F４給紙センサ_on,レジストセンサ_on,レジストタイミングセンサ_on,両面センサ_on,両面入口センサ_on,両面出口センサ_on,反転センサ_on,定着入口センサ_on,定着出口センサ_on,排紙センサ_on,本体縦搬送センサ2_on,本体縦搬送センサ１_on,縦搬送センサ３_on,縦搬送センサ４_on,1bin排紙センサ_on,F1給紙センサ_off,F2給紙センサ_off,LCT F1搬送センサ_off,LCT F2搬送センサ_off,LCT F3搬送センサ_off,バンク F3給紙センサ_off,バンク F４給紙センサ_off,レジストセンサ_off,レジストタイミングセンサ_off,両面センサ_off,両面入口センサ_off,両面出口センサ_off,反転センサ_off,定着入口センサ_off,定着出口センサ_off,排紙センサ_off,本体縦搬送センサ2_off,本体縦搬送センサ１_off,縦搬送センサ３_off,縦搬送センサ４_off,1bin排紙センサ_off
0,112,210.0,297.0,トレイ1,本体排紙トレイ,タイプE,標準速,100,普通紙,紙厚2,3,-8.0,,,,,,,0.0,,,,,,-4.0,-2.0,0.0,,-5.0,,,,0.0,,,,,,,0.0,,,,,,0.0,0.0,6.0,,5.0,,,
1,218,210.0,297.0,トレイ1,本体排紙トレイ,タイプE,標準速,100,普通紙,紙厚2,4,-8.0,,,,,,,0.0,,,,,,-4.0,-2.0,0.0,,-5.0,,,,0.0,,,,,,,0.0,,,,,,0.0,0.0,6.0,,5.0,,,
2,499,210.0,297.0,トレイ1,両面排紙,タイプE,標準速,100,普通紙,紙厚2,0,-8.0,,,,,,,0.0,,,1.0,0.0,-2.0,-3.0,-1.0,,,2.0,,,,0.0,,,,,,,0.0,,,13.0,,2.0,0.0,1.0,,,6.0,,,
4,503,210.0,297.0,トレイ1,両面排紙,タイプE,標準速,100,普通紙,紙厚2,1,,,,,,,,0.0,,,,,,-3.0,-2.0,-1.0,,,,,,,,,,,,,0.0,,,,3.0,,0.0,1.0,3.0,,,,,
3,541,210.0,297.0,トレイ1,両面排紙,タイプE,標準速,100,普通紙,紙厚2,2,-8.0,,,,,,,0.0,,,1.0,0.0,-3.0,-3.0,-2.0,,,-5.0,,,,0.0,,,,,,,0.0,,,13.0,,2.0,0.0,1.0,,,5.0,,,
6,545,210.0,297.0,トレイ1,両面排紙,タイプE,標準速,100,普通紙,紙厚2,3,,,,,,,,0.0,,,,,,-3.0,-2.0,-1.0,,,,,,,,,,,,,0.0,,,,9.0,,0.0,1.0,3.0,,,,,
5,594,210.0,297.0,トレイ1,両面排紙,タイプE,標準速,100,普通紙,紙厚2,4,-8.0,,,,,,,0.0,,,1.0,0.0,-3.0,-4.0,-3.0,,,-5.0,,,,0.0,,,,,,,0.0,,,13.0,,2.0,0.0,0.0,,,5.0,,,
7,598,210.0,297.0,トレイ1,両面排紙,タイプE,標準速,100,普通紙,紙厚2,5,,,,,,,,0.0,,,,,,-2.0,-1.0,-1.0,,,,,,,,,,,,,0.0,,,,10.0,,0.0,1.0,3.0,,,,,
